Sample_name	Species	Read_1	Read_2
ES-C-ST001-25AUG14-0039K	E_faecalis	E_faecalis_368/all_reads/ES-C-ST001-25AUG14-0039K_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST001-25AUG14-0039K_2.fastq.gz
ES-C-ST001-25AUG15-0117K	E_faecalis	E_faecalis_368/all_reads/ES-C-ST001-25AUG15-0117K_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST001-25AUG15-0117K_2.fastq.gz
ES-C-ST001-25AUG15-0117L	E_faecalis	E_faecalis_368/all_reads/ES-C-ST001-25AUG15-0117L_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST001-25AUG15-0117L_2.fastq.gz
ES-C-ST001-27APR15-0081A	E_faecalis	E_faecalis_368/all_reads/ES-C-ST001-27APR15-0081A_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST001-27APR15-0081A_2.fastq.gz
ES-C-ST001-27APR15-0081C	E_faecalis	E_faecalis_368/all_reads/ES-C-ST001-27APR15-0081C_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST001-27APR15-0081C_2.fastq.gz
ES-C-ST001-27APR15-0081I	E_faecalis	E_faecalis_368/all_reads/ES-C-ST001-27APR15-0081I_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST001-27APR15-0081I_2.fastq.gz
ES-C-ST001-27APR15-0081J	E_faecalis	E_faecalis_368/all_reads/ES-C-ST001-27APR15-0081J_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST001-27APR15-0081J_2.fastq.gz
ES-C-ST001-27APR15-0081K	E_faecalis	E_faecalis_368/all_reads/ES-C-ST001-27APR15-0081K_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST001-27APR15-0081K_2.fastq.gz
ES-C-ST001-27APR15-0081M	E_faecalis	E_faecalis_368/all_reads/ES-C-ST001-27APR15-0081M_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST001-27APR15-0081M_2.fastq.gz
ES-C-ST002-01FEB16-0146A	E_faecalis	E_faecalis_368/all_reads/ES-C-ST002-01FEB16-0146A_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST002-01FEB16-0146A_2.fastq.gz
ES-C-ST002-07DEC15-0142J	E_faecalis	E_faecalis_368/all_reads/ES-C-ST002-07DEC15-0142J_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST002-07DEC15-0142J_2.fastq.gz
ES-C-ST002-25AUG14-0040A	E_faecalis	E_faecalis_368/all_reads/ES-C-ST002-25AUG14-0040A_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST002-25AUG14-0040A_2.fastq.gz
ES-C-ST002-25AUG14-0040C	E_faecalis	E_faecalis_368/all_reads/ES-C-ST002-25AUG14-0040C_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST002-25AUG14-0040C_2.fastq.gz
ES-C-ST002-25AUG14-0040D	E_faecalis	E_faecalis_368/all_reads/ES-C-ST002-25AUG14-0040D_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST002-25AUG14-0040D_2.fastq.gz
